Exercise,Set 1,Set 2,Set 3
"2026-07-21, SHOULDERS",Skipped hanging leg raises for flexibility (I believe) issues on client,,
Dumbbell Shoulder Press,5×5,5×6,5×7
Dumbbell Lateral Raise,10×8 @8.5,10×6 @6,10×13 @9
Cable Rear Delt Fly,10×18 @8,12.5×7 @6.5,12.5×15 @7.5
Dumbbell Front Raise,8×12 @9,5×12 @7.5,8×9 @9.5
Weighted Cable Crunch,80×12 @6,80×16 @9,90×16 @10
,,,
